,Antibody,Antigen,Concat,IC50,IC50_median
0,12A21,3016_V5_C45,12A21__3016_V5_C45,['0.097'],0.097
1,12A21,3365_V2_C20,12A21__3365_V2_C20,['0.045'],0.045
2,12A21,3415_V1_C1,12A21__3415_V1_C1,['0.082'],0.082
3,12A21,6540_V4_C1,12A21__6540_V4_C1,['0.066'],0.066
4,12A21,6631_V3_C10,12A21__6631_V3_C10,['2.37'],2.37
5,12A21,93TH057,12A21__93TH057,['0.282'],0.282
6,12A21,BG1168_1,12A21__BG1168_1,['0.094'],0.094
7,12A21,CAAN5342,12A21__CAAN5342,['0.539'],0.539
8,12A21,DRVI01_0507_16,12A21__DRVI01_0507_16,['1.43'],1.43
9,12A21,DU172_17,12A21__DU172_17,['0.126'],0.126
10,12A21,DU422_1,12A21__DU422_1,['21.5'],21.5
11,12A21,HXB2,12A21__HXB2,['6.51'],6.51
12,12A21,JRCSF,12A21__JRCSF,['0.186'],0.186
13,12A21,Q842_D12,12A21__Q842_D12,['0.015'],0.015
14,12A21,R1166_C1,12A21__R1166_C1,['0.292'],0.292
15,12A21,T251_18,12A21__T251_18,['1.713'],1.713
16,12A21,X1254_C3,12A21__X1254_C3,['26.793'],26.793
17,12A21,ZM109_4,12A21__ZM109_4,['2.104'],2.104
18,12A21,ZM53_12,12A21__ZM53_12,['0.42'],0.42
19,VRC01,0013095_2_11,VRC01__0013095_2_11,"['0.088', '0.112', '0.088', '0.145', '0.112', '0.142', '0.169', '0.142', '0.142', '0.175', '0.094', '0.134', '0.14', '0.142', '0.112', '0.11', '0.086', '0.11', '0.11', '0.097', '0.1266', '0.0002']",0.112
20,VRC01,001428_2_42,VRC01__001428_2_42,"['0.008', '0.026', '0.008', '0.026', '0.026', '0.02', '0.026', '0.023', '0.023', '0.016', '0.016', '0.019', '0.01', '0.026', '0.02', '0.014', '0.02', '0.02', '0.031', '0.0224', '0.019']",0.02
21,VRC01,0041_V3_C18,VRC01__0041_V3_C18,"['0.36', '0.36']",0.36
22,VRC01,0077_V1_C16,VRC01__0077_V1_C16,"['1.28', '1.03', '1.26', '1.28', '1.03', '1.04', '2.09', '1.04', '1.04', '1.04', '2.45', '1.01', '1.15', '1.04', '1.04', '1.03', '1.13', '1.26', '1', '1.38', '1.1772']",1.04
23,VRC01,00836_2_5,VRC01__00836_2_5,"['0.119', '0.242', '0.119', '0.242', '0.128', '0.255', '0.128', '0.128', '0.128', '0.247', '0.174', '0.226', '0.13', '0.128', '0.242', '0.122', '0.128', '0.199', '0.1834']",0.13
24,VRC01,0260_V5_C1,VRC01__0260_V5_C1,['0.124'],0.124
25,VRC01,0260_V5_C36,VRC01__0260_V5_C36,"['0.631', '0.468', '0.528', '0.468', '0.869', '0.528', '0.529', '0.718', '0.53', '0.529', '0.529', '0.855', '0.352', '0.488', '0.53', '1.1', '0.529', '0.528', '0.523', '0.718', '0.76', '0.76', '0.401', '0.4454']",0.529
26,VRC01,0301_BM_A12,VRC01__0301_BM_A12,['16.2'],16.2
27,VRC01,0301_BM_A2,VRC01__0301_BM_A2,['5.37'],5.37
28,VRC01,0301_BM_A6,VRC01__0301_BM_A6,['2.18'],2.18
29,VRC01,0330_V4_C3,VRC01__0330_V4_C3,"['0.047', '0.027', '0.047', '0.178', '0.027', '0.064', '0.072', '0.064', '0.064', '0.111', '0.065', '0.088', '0.06', '0.07', '0.064', '0.027', '0.066', '0.072', '0.07', '0.07', '0.078', '0.0828', '0.033']",0.065
30,VRC01,0404_BM_B9,VRC01__0404_BM_B9,['0.4'],0.4
31,VRC01,0404_BM_D4,VRC01__0404_BM_D4,['14.11'],14.11
32,VRC01,0404_BM_F3,VRC01__0404_BM_F3,['0.51'],0.51
33,VRC01,0404_BM_G3,VRC01__0404_BM_G3,['0.07'],0.07
34,VRC01,0404_BM_H4,VRC01__0404_BM_H4,['0.49'],0.49
35,VRC01,0439_V5_C1,VRC01__0439_V5_C1,"['0.129', '0.212', '0.129', '0.212', '0.052', '0.282', '0.052', '0.052', '0.271', '0.114', '0.193', '0.05', '0.052', '0.212', '0.228', '0.147', '0.052', '0.163', '0.1734']",0.147
36,VRC01,0702_BM_B4,VRC01__0702_BM_B4,['0.41'],0.41
37,VRC01,0702_BM_D1,VRC01__0702_BM_D1,['2.42'],2.42
